City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3hours),Snow Inches (last 3hours)
116,Qaqortoq,GL,2020-01-02 06:35:00,60.72,-46.03,10.4,51,71,2.24,broken clouds,0.0,0.0
117,San Carlos,NI,2020-01-02 06:35:01,11.12,-84.78,71.01,20,47,4.27,scattered clouds,0.06,0.0
118,Christchurch,NZ,2020-01-02 06:35:01,-43.53,172.64,66.99,77,11,16.11,few clouds,0.0,0.0
119,Bluff,AU,2020-01-02 06:35:01,-23.58,149.07,99.1,19,0,11.12,clear sky,0.0,0.0
120,Cidreira,BR,2020-01-02 06:35:01,-30.17,-50.22,74.44,83,93,20.04,light rain,0.44,0.0
121,Fortuna,US,2020-01-02 06:35:02,40.6,-124.16,48.99,93,40,4.07,fog,0.0,0.0
122,Stromness,CA,2020-01-02 06:35:02,42.87,-79.55,39.99,86,90,17.22,overcast clouds,0.0,0.0
123,Bhaderwah,IN,2020-01-02 06:35:02,32.98,75.72,41.14,31,100,3.71,overcast clouds,0.0,0.0
124,Marsh Harbour,BS,2020-01-02 06:35:02,26.54,-77.06,73.18,58,6,6.13,clear sky,0.0,0.0
125,Kajaani,FI,2020-01-02 06:35:03,64.22,27.73,37.4,84,70,19.46,broken clouds,0.0,0.0
126,Los Llanos De Aridane,ES,2020-01-02 06:35:03,28.66,-17.92,66.2,29,100,16.11,overcast clouds,0.0,0.0
127,Marawi,PH,2020-01-02 06:35:03,8.0,124.29,84.0,75,57,8.99,broken clouds,0.0,0.0
128,Castanas,PH,2020-01-02 06:35:04,13.88,121.55,80.01,89,47,10.0,light rain,0.62,0.0
129,Lompoc,US,2020-01-02 06:31:07,34.64,-120.46,59.0,93,1,11.41,clear sky,0.0,0.0
130,Hirado,JP,2020-01-02 06:35:04,33.32,129.49,55.99,66,40,11.41,scattered clouds,0.0,0.0
131,Cedar City,US,2020-01-02 06:32:20,37.68,-113.06,33.8,74,75,17.22,broken clouds,0.0,0.0
132,Aksarka,RU,2020-01-02 06:35:05,66.56,67.8,1.36,91,38,11.45,scattered clouds,0.0,0.0
133,Esperance,AU,2020-01-02 06:35:05,-33.86,121.89,71.6,68,90,20.8,overcast clouds,0.0,0.0
134,Saint-Philippe,CA,2020-01-02 06:35:05,45.36,-73.48,33.01,90,90,14.99,overcast clouds,0.0,0.0
135,Sinnamary,GF,2020-01-02 06:35:05,5.38,-52.96,78.94,74,64,13.15,light rain,0.19,0.0
136,Watertown,US,2020-01-02 06:35:05,44.9,-97.12,35.01,86,90,10.29,overcast clouds,0.0,0.0
137,Sitka,US,2020-01-02 06:35:06,37.17,-99.65,39.0,63,3,0.85,clear sky,0.0,0.0
138,Ostersund,SE,2020-01-02 06:35:06,63.18,14.64,39.99,64,100,12.75,overcast clouds,0.0,0.0
